t0.0,t0.05,t0.1,t0.15,t0.2,t0.25,t0.3,t0.35,t0.4,t0.45,t0.5,t0.55,t0.6,t0.65
"(0.0,-0.0,1.0)","(1.77,-0.03,0.99)","(3.55,0.09,0.95)","(5.32,-0.02,0.89)","(7.09,-0.09,0.8)","(8.87,-0.02,0.69)","(10.64,-0.07,0.56)","(12.42,0.06,0.4)","(14.19,-0.06,0.22)","(15.96,0.01,0.01)","(17.74,0.06,0)","(19.51,-0.08,0)","(21.28,0.04,0)",
"(0.0,0.03,1.0)","(2.06,0.08,0.99)","(4.12,-0.02,0.95)","(6.18,0.02,0.89)","(8.24,-0.03,0.8)","(10.31,0.05,0.69)","(12.37,0.06,0.56)","(14.43,0.09,0.4)","(16.49,-0.07,0.22)","(18.55,0.05,0.01)","(20.61,0.06,0)",,,
"(0.0,0.01,1.0)","(1.78,0.09,0.99)","(3.56,-0.08,0.95)","(5.34,-0.01,0.89)","(7.12,-0.06,0.8)","(8.9,-0.0,0.69)","(10.68,-0.01,0.56)","(12.46,-0.06,0.4)","(14.23,-0.04,0.22)","(16.01,-0.07,0.01)","(17.79,0.01,0)","(19.57,0.07,0)","(21.35,-0.08,0)",
"(0.0,0.09,1.0)","(2.03,-0.0,0.99)","(4.06,-0.0,0.95)","(6.09,0.01,0.89)","(8.12,-0.08,0.8)","(10.15,0.0,0.69)","(12.18,0.06,0.56)","(14.21,0.07,0.4)","(16.24,0.01,0.22)","(18.27,-0.02,0.01)","(20.3,-0.04,0)",,,
"(0.0,0.04,1.0)","(1.8,0.01,0.99)","(3.61,-0.07,0.95)","(5.41,0.03,0.89)","(7.21,0.09,0.8)","(9.02,0.0,0.69)","(10.82,0.04,0.56)","(12.62,-0.02,0.4)","(14.43,0.05,0.22)","(16.23,-0.08,0.01)","(18.03,0.09,0)","(19.83,-0.08,0)","(21.64,0.04,0)",
"(0.0,0.04,1.0)","(2.08,0.01,0.99)","(4.17,0.06,0.95)","(6.25,-0.06,0.89)","(8.33,0.06,0.8)","(10.42,-0.08,0.69)","(12.5,-0.01,0.56)","(14.58,-0.02,0.4)","(16.66,-0.07,0.22)","(18.75,0.02,0.01)","(20.83,-0.09,0)",,,
"(0.0,-0.06,1.0)","(1.7,0.09,0.99)","(3.4,0.05,0.95)","(5.1,-0.03,0.89)","(6.8,-0.01,0.8)","(8.5,0.09,0.69)","(10.2,0.04,0.56)","(11.9,0.06,0.4)","(13.6,0.03,0.22)","(15.3,-0.02,0.01)","(17.0,-0.08,0)","(18.71,0.02,0)","(20.41,0.07,0)",
"(0.0,-0.09,1.0)","(1.76,0.02,0.99)","(3.53,0.08,0.95)","(5.29,-0.03,0.89)","(7.06,-0.07,0.8)","(8.82,-0.05,0.69)","(10.59,0.08,0.56)","(12.35,-0.1,0.4)","(14.11,-0.01,0.22)","(15.88,0.08,0.01)","(17.64,0.0,0)","(19.41,-0.02,0)","(21.17,-0.0,0)",
"(0.0,0.0,1.0)","(1.94,0.08,0.99)","(3.87,-0.04,0.95)","(5.81,0.02,0.89)","(7.74,-0.09,0.8)","(9.68,-0.01,0.69)","(11.62,-0.04,0.56)","(13.55,-0.02,0.4)","(15.49,0.06,0.22)","(17.42,-0.1,0.01)","(19.36,0.02,0)","(21.3,-0.08,0)",,
"(0.0,-0.04,1.0)","(1.97,-0.09,0.99)","(3.94,0.07,0.95)","(5.92,0.09,0.89)","(7.89,0.07,0.8)","(9.86,0.07,0.69)","(11.83,-0.08,0.56)","(13.8,0.09,0.4)","(15.77,-0.01,0.22)","(17.75,-0.07,0.01)","(19.72,-0.0,0)","(21.69,-0.03,0)",,
"(0.0,0.07,1.0)","(1.75,-0.06,0.99)","(3.49,-0.06,0.95)","(5.24,-0.01,0.89)","(6.99,0.05,0.8)","(8.74,0.03,0.69)","(10.48,-0.01,0.56)","(12.23,-0.06,0.4)","(13.98,0.02,0.22)","(15.73,0.07,0.01)","(17.47,-0.02,0)","(19.22,-0.03,0)","(20.97,0.02,0)",
"(0.0,-0.01,1.0)","(1.81,-0.04,0.99)","(3.61,0.01,0.95)","(5.42,0.05,0.89)","(7.22,0.06,0.8)","(9.03,-0.04,0.69)","(10.84,0.04,0.56)","(12.64,0.05,0.4)","(14.45,0.03,0.22)","(16.25,0.03,0.01)","(18.06,0.03,0)","(19.86,0.02,0)","(21.67,0.01,0)",
"(0.0,0.09,1.0)","(1.86,-0.02,0.99)","(3.73,0.04,0.95)","(5.59,0.07,0.89)","(7.45,-0.05,0.8)","(9.32,-0.06,0.69)","(11.18,0.07,0.56)","(13.05,-0.07,0.4)","(14.91,0.09,0.22)","(16.77,0.0,0.01)","(18.64,-0.08,0)","(20.5,0.05,0)",,
"(0.0,-0.03,1.0)","(1.74,0.08,0.99)","(3.47,-0.04,0.95)","(5.21,-0.06,0.89)","(6.95,-0.07,0.8)","(8.68,-0.0,0.69)","(10.42,0.04,0.56)","(12.15,0.03,0.4)","(13.89,0.04,0.22)","(15.63,-0.09,0.01)","(17.36,0.0,0)","(19.1,-0.01,0)","(20.84,-0.07,0)",
"(0.0,-0.02,1.0)","(1.7,0.04,0.99)","(3.41,0.02,0.95)","(5.11,-0.04,0.89)","(6.82,0.09,0.8)","(8.52,-0.01,0.69)","(10.23,-0.07,0.56)","(11.93,-0.02,0.4)","(13.64,0.06,0.22)","(15.34,0.04,0.01)","(17.05,0.07,0)","(18.75,0.01,0)","(20.46,0.03,0)",
"(0.0,0.01,1.0)","(1.99,-0.08,0.99)","(3.97,-0.09,0.95)","(5.96,-0.04,0.89)","(7.95,0.05,0.8)","(9.94,-0.05,0.69)","(11.92,-0.03,0.56)","(13.91,0.02,0.4)","(15.9,-0.03,0.22)","(17.89,-0.03,0.01)","(19.87,-0.0,0)","(21.86,-0.04,0)",,
"(0.0,-0.06,1.0)","(1.94,0.05,0.99)","(3.89,0.09,0.95)","(5.83,-0.05,0.89)","(7.77,0.08,0.8)","(9.71,-0.07,0.69)","(11.66,0.05,0.56)","(13.6,-0.03,0.4)","(15.54,-0.02,0.22)","(17.49,-0.07,0.01)","(19.43,0.08,0)","(21.37,0.03,0)",,
"(0.0,0.09,1.0)","(1.7,0.05,0.99)","(3.39,0.01,0.95)","(5.09,-0.06,0.89)","(6.79,-0.01,0.8)","(8.49,-0.01,0.69)","(10.18,0.01,0.56)","(11.88,0.08,0.4)","(13.58,-0.06,0.22)","(15.27,-0.03,0.01)","(16.97,-0.09,0)","(18.67,0.09,0)","(20.37,-0.08,0)",
"(0.0,0.05,1.0)","(1.83,-0.08,0.99)","(3.66,-0.09,0.95)","(5.49,-0.09,0.89)","(7.33,-0.09,0.8)","(9.16,-0.05,0.69)","(10.99,0.01,0.56)","(12.82,0.08,0.4)","(14.65,-0.05,0.22)","(16.48,-0.0,0.01)","(18.31,0.03,0)","(20.14,-0.02,0)",,
"(0.0,-0.07,1.0)","(2.02,0.01,0.99)","(4.03,-0.01,0.95)","(6.05,-0.02,0.89)","(8.07,0.02,0.8)","(10.08,0.05,0.69)","(12.1,-0.03,0.56)","(14.12,-0.02,0.4)","(16.13,0.07,0.22)","(18.15,-0.07,0.01)","(20.17,0.08,0)",,,
"(0.0,0.09,1.0)","(1.93,-0.1,0.99)","(3.86,-0.02,0.95)","(5.78,0.07,0.89)","(7.71,0.0,0.8)","(9.64,-0.03,0.69)","(11.57,-0.0,0.56)","(13.49,-0.07,0.4)","(15.42,-0.04,0.22)","(17.35,0.02,0.01)","(19.28,0.09,0)","(21.2,0.1,0)",,
"(0.0,0.0,1.0)","(1.96,0.07,0.99)","(3.92,0.05,0.95)","(5.87,-0.01,0.89)","(7.83,0.04,0.8)","(9.79,-0.04,0.69)","(11.75,0.04,0.56)","(13.7,-0.05,0.4)","(15.66,0.07,0.22)","(17.62,0.02,0.01)","(19.58,0.1,0)","(21.54,-0.03,0)",,
"(0.0,-0.08,1.0)","(1.99,-0.09,0.99)","(3.99,0.1,0.95)","(5.98,-0.09,0.89)","(7.97,-0.07,0.8)","(9.96,0.06,0.69)","(11.96,-0.01,0.56)","(13.95,-0.02,0.4)","(15.94,0.02,0.22)","(17.93,0.07,0.01)","(19.93,0.0,0)","(21.92,0.06,0)",,
"(0.0,-0.03,1.0)","(1.75,0.06,0.99)","(3.49,-0.08,0.95)","(5.24,-0.01,0.89)","(6.98,-0.08,0.8)","(8.73,0.05,0.69)","(10.47,0.0,0.56)","(12.22,-0.01,0.4)","(13.96,0.08,0.22)","(15.71,-0.02,0.01)","(17.45,0.04,0)","(19.2,-0.05,0)","(20.95,-0.0,0)",
"(0.0,-0.04,1.0)","(1.76,0.05,0.99)","(3.52,0.06,0.95)","(5.28,-0.07,0.89)","(7.04,0.08,0.8)","(8.8,0.09,0.69)","(10.56,0.08,0.56)","(12.32,0.08,0.4)","(14.08,-0.08,0.22)","(15.84,0.05,0.01)","(17.6,0.08,0)","(19.36,0.03,0)","(21.12,-0.04,0)",
"(0.0,0.03,1.0)","(1.89,0.09,0.99)","(3.79,-0.06,0.95)","(5.68,0.04,0.89)","(7.58,-0.01,0.8)","(9.47,-0.06,0.69)","(11.37,-0.09,0.56)","(13.26,0.08,0.4)","(15.15,0.04,0.22)","(17.05,-0.03,0.01)","(18.94,0.02,0)","(20.84,-0.08,0)",,
"(0.0,-0.04,1.0)","(2.04,-0.08,0.99)","(4.08,-0.06,0.95)","(6.12,-0.02,0.89)","(8.17,0.06,0.8)","(10.21,0.03,0.69)","(12.25,-0.04,0.56)","(14.29,-0.02,0.4)","(16.33,-0.03,0.22)","(18.37,-0.09,0.01)","(20.41,0.1,0)",,,
"(0.0,-0.01,1.0)","(2.05,0.08,0.99)","(4.11,-0.1,0.95)","(6.16,-0.03,0.89)","(8.21,-0.08,0.8)","(10.26,-0.06,0.69)","(12.32,-0.05,0.56)","(14.37,0.09,0.4)","(16.42,-0.07,0.22)","(18.47,-0.04,0.01)","(20.53,-0.05,0)",,,
"(0.0,0.06,1.0)","(2.03,-0.07,0.99)","(4.05,-0.04,0.95)","(6.08,0.05,0.89)","(8.1,0.05,0.8)","(10.13,0.09,0.69)","(12.15,-0.02,0.56)","(14.18,0.02,0.4)","(16.2,-0.05,0.22)","(18.23,-0.04,0.01)","(20.25,-0.09,0)",,,
"(0.0,-0.01,1.0)","(1.86,0.03,0.99)","(3.73,-0.03,0.95)","(5.59,-0.01,0.89)","(7.46,-0.05,0.8)","(9.32,0.05,0.69)","(11.19,0.03,0.56)","(13.05,0.03,0.4)","(14.92,0.01,0.22)","(16.78,0.04,0.01)","(18.65,-0.09,0)","(20.51,0.08,0)",,
"(0.0,0.07,1.0)","(1.97,-0.07,0.99)","(3.95,0.1,0.95)","(5.92,0.06,0.89)","(7.89,0.03,0.8)","(9.87,0.1,0.69)","(11.84,0.09,0.56)","(13.81,0.05,0.4)","(15.78,0.03,0.22)","(17.76,0.01,0.01)","(19.73,-0.06,0)","(21.7,-0.05,0)",,
"(0.0,-0.04,1.0)","(1.86,-0.0,0.99)","(3.72,0.09,0.95)","(5.58,-0.02,0.89)","(7.44,-0.04,0.8)","(9.3,-0.06,0.69)","(11.16,0.03,0.56)","(13.02,0.08,0.4)","(14.88,0.01,0.22)","(16.74,0.03,0.01)","(18.6,0.05,0)","(20.46,0.02,0)",,
"(0.0,0.04,1.0)","(2.02,0.01,0.99)","(4.04,-0.05,0.95)","(6.06,-0.09,0.89)","(8.08,-0.05,0.8)","(10.1,-0.06,0.69)","(12.12,-0.03,0.56)","(14.14,0.05,0.4)","(16.16,-0.02,0.22)","(18.18,-0.05,0.01)","(20.19,0.08,0)",,,
"(0.0,-0.05,1.0)","(1.84,-0.04,0.99)","(3.68,0.02,0.95)","(5.52,0.01,0.89)","(7.37,0.09,0.8)","(9.21,0.04,0.69)","(11.05,-0.06,0.56)","(12.89,-0.08,0.4)","(14.73,-0.02,0.22)","(16.57,-0.09,0.01)","(18.41,-0.04,0)","(20.25,0.04,0)",,
"(0.0,-0.03,1.0)","(1.67,0.02,0.99)","(3.34,-0.03,0.95)","(5.01,0.07,0.89)","(6.69,0.0,0.8)","(8.36,0.09,0.69)","(10.03,0.03,0.56)","(11.7,0.08,0.4)","(13.37,-0.08,0.22)","(15.04,-0.07,0.01)","(16.71,0.09,0)","(18.39,-0.01,0)","(20.06,-0.01,0)","(21.73,0.04,0)"
"(0.0,-0.09,1.0)","(1.96,0.01,0.99)","(3.93,0.06,0.95)","(5.89,-0.0,0.89)","(7.85,-0.03,0.8)","(9.82,-0.04,0.69)","(11.78,-0.07,0.56)","(13.74,0.08,0.4)","(15.7,0.03,0.22)","(17.67,-0.01,0.01)","(19.63,-0.03,0)","(21.59,0.06,0)",,
"(0.0,-0.01,1.0)","(2.07,0.06,0.99)","(4.14,0.09,0.95)","(6.21,-0.09,0.89)","(8.28,0.07,0.8)","(10.35,-0.03,0.69)","(12.42,0.02,0.56)","(14.49,-0.03,0.4)","(16.57,-0.02,0.22)","(18.64,-0.05,0.01)","(20.71,-0.06,0)",,,
"(0.0,-0.05,1.0)","(1.94,0.08,0.99)","(3.89,-0.09,0.95)","(5.83,-0.01,0.89)","(7.78,-0.04,0.8)","(9.72,-0.09,0.69)","(11.66,0.07,0.56)","(13.61,0.06,0.4)","(15.55,-0.03,0.22)","(17.5,-0.06,0.01)","(19.44,-0.08,0)","(21.38,0.09,0)",,
"(0.0,0.01,1.0)","(1.71,-0.1,0.99)","(3.41,0.09,0.95)","(5.12,-0.01,0.89)","(6.83,-0.06,0.8)","(8.53,-0.08,0.69)","(10.24,0.03,0.56)","(11.95,0.09,0.4)","(13.66,-0.01,0.22)","(15.36,-0.05,0.01)","(17.07,-0.05,0)","(18.78,-0.08,0)","(20.48,0.09,0)",
"(0.0,-0.04,1.0)","(2.07,-0.08,0.99)","(4.14,0.09,0.95)","(6.21,-0.01,0.89)","(8.28,0.06,0.8)","(10.36,0.05,0.69)","(12.43,0.01,0.56)","(14.5,-0.03,0.4)","(16.57,-0.02,0.22)","(18.64,-0.07,0.01)","(20.71,-0.09,0)",,,
"(0.0,-0.01,1.0)","(1.78,0.06,0.99)","(3.55,0.06,0.95)","(5.33,-0.02,0.89)","(7.11,0.05,0.8)","(8.89,0.04,0.69)","(10.66,-0.05,0.56)","(12.44,-0.04,0.4)","(14.22,0.09,0.22)","(16.0,0.09,0.01)","(17.77,-0.08,0)","(19.55,0.05,0)","(21.33,0.08,0)",
"(0.0,-0.02,1.0)","(1.83,0.06,0.99)","(3.66,-0.01,0.95)","(5.49,-0.06,0.89)","(7.32,-0.03,0.8)","(9.14,0.05,0.69)","(10.97,0.04,0.56)","(12.8,-0.06,0.4)","(14.63,-0.03,0.22)","(16.46,-0.02,0.01)","(18.29,0.04,0)","(20.12,0.01,0)","(21.95,0.05,0)",
"(0.0,-0.07,1.0)","(1.94,0.01,0.99)","(3.88,0.09,0.95)","(5.82,-0.09,0.89)","(7.77,0.08,0.8)","(9.71,-0.03,0.69)","(11.65,0.03,0.56)","(13.59,-0.02,0.4)","(15.53,-0.08,0.22)","(17.47,0.03,0.01)","(19.42,0.08,0)","(21.36,-0.02,0)",,
"(0.0,0.02,1.0)","(1.83,0.05,0.99)","(3.66,-0.06,0.95)","(5.49,-0.1,0.89)","(7.32,0.02,0.8)","(9.14,0.09,0.69)","(10.97,-0.04,0.56)","(12.8,-0.06,0.4)","(14.63,0.04,0.22)","(16.46,0.08,0.01)","(18.29,-0.09,0)","(20.12,-0.01,0)","(21.95,-0.02,0)",
"(0.0,-0.09,1.0)","(1.97,-0.1,0.99)","(3.93,0.03,0.95)","(5.9,-0.01,0.89)","(7.87,-0.09,0.8)","(9.83,-0.09,0.69)","(11.8,0.05,0.56)","(13.77,0.05,0.4)","(15.73,-0.01,0.22)","(17.7,0.04,0.01)","(19.67,0.03,0)","(21.63,-0.02,0)",,
"(0.0,-0.04,1.0)","(1.88,0.08,0.99)","(3.75,-0.07,0.95)","(5.63,0.07,0.89)","(7.51,0.07,0.8)","(9.38,-0.08,0.69)","(11.26,0.04,0.56)","(13.13,0.01,0.4)","(15.01,0.08,0.22)","(16.89,-0.07,0.01)","(18.76,0.05,0)","(20.64,0.09,0)",,
"(0.0,0.04,1.0)","(2.02,-0.01,0.99)","(4.04,-0.03,0.95)","(6.06,0.03,0.89)","(8.08,0.08,0.8)","(10.1,-0.02,0.69)","(12.12,0.08,0.56)","(14.14,0.01,0.4)","(16.16,-0.01,0.22)","(18.18,-0.02,0.01)","(20.2,0.01,0)",,,
"(0.0,0.05,1.0)","(2.03,-0.02,0.99)","(4.06,-0.09,0.95)","(6.09,0.02,0.89)","(8.12,0.1,0.8)","(10.16,0.02,0.69)","(12.19,-0.07,0.56)","(14.22,-0.01,0.4)","(16.25,-0.03,0.22)","(18.28,-0.02,0.01)","(20.31,-0.02,0)",,,
"(0.0,0.09,1.0)","(1.8,-0.07,0.99)","(3.6,-0.06,0.95)","(5.39,0.03,0.89)","(7.19,0.01,0.8)","(8.99,-0.07,0.69)","(10.79,0.02,0.56)","(12.58,0.08,0.4)","(14.38,-0.07,0.22)","(16.18,-0.06,0.01)","(17.98,-0.03,0)","(19.77,-0.01,0)","(21.57,-0.04,0)",
"(0.0,0.03,1.0)","(1.68,-0.08,0.99)","(3.36,-0.07,0.95)","(5.04,0.08,0.89)","(6.73,0.09,0.8)","(8.41,0.04,0.69)","(10.09,0.08,0.56)","(11.77,0.04,0.4)","(13.45,0.06,0.22)","(15.13,-0.06,0.01)","(16.81,0.03,0)","(18.49,0.03,0)","(20.18,-0.02,0)",
"(0.0,0.1,1.0)","(2.07,-0.08,0.99)","(4.13,0.09,0.95)","(6.2,0.01,0.89)","(8.26,-0.05,0.8)","(10.33,0.0,0.69)","(12.4,0.04,0.56)","(14.46,0.04,0.4)","(16.53,0.01,0.22)","(18.6,0.07,0.01)","(20.66,0.01,0)",,,
"(0.0,-0.05,1.0)","(1.87,0.04,0.99)","(3.74,-0.02,0.95)","(5.61,-0.1,0.89)","(7.49,-0.03,0.8)","(9.36,-0.02,0.69)","(11.23,-0.06,0.56)","(13.1,0.02,0.4)","(14.97,-0.06,0.22)","(16.84,0.05,0.01)","(18.71,0.06,0)","(20.59,-0.08,0)",,
"(0.0,-0.06,1.0)","(1.8,0.0,0.99)","(3.6,-0.04,0.95)","(5.4,0.03,0.89)","(7.2,0.04,0.8)","(9.0,0.01,0.69)","(10.8,0.05,0.56)","(12.6,-0.01,0.4)","(14.4,-0.05,0.22)","(16.2,-0.05,0.01)","(18.0,0.02,0)","(19.8,0.05,0)","(21.61,0.09,0)",
"(0.0,0.04,1.0)","(1.76,-0.04,0.99)","(3.51,0.08,0.95)","(5.27,-0.05,0.89)","(7.02,-0.04,0.8)","(8.78,-0.08,0.69)","(10.53,-0.1,0.56)","(12.29,0.01,0.4)","(14.04,0.03,0.22)","(15.8,0.01,0.01)","(17.55,-0.08,0)","(19.31,-0.0,0)","(21.06,-0.05,0)",
"(0.0,-0.07,1.0)","(2.02,-0.08,0.99)","(4.03,0.07,0.95)","(6.05,0.0,0.89)","(8.06,0.0,0.8)","(10.08,-0.04,0.69)","(12.09,0.07,0.56)","(14.11,-0.07,0.4)","(16.12,-0.08,0.22)","(18.14,0.04,0.01)","(20.16,0.06,0)",,,
"(0.0,0.07,1.0)","(2.06,0.01,0.99)","(4.12,0.01,0.95)","(6.18,-0.08,0.89)","(8.25,0.1,0.8)","(10.31,0.09,0.69)","(12.37,-0.08,0.56)","(14.43,0.01,0.4)","(16.49,0.04,0.22)","(18.55,-0.09,0.01)","(20.61,-0.01,0)",,,
"(0.0,-0.09,1.0)","(1.86,-0.01,0.99)","(3.72,-0.05,0.95)","(5.57,-0.07,0.89)","(7.43,-0.04,0.8)","(9.29,-0.06,0.69)","(11.15,-0.06,0.56)","(13.01,-0.07,0.4)","(14.86,-0.08,0.22)","(16.72,-0.02,0.01)","(18.58,0.04,0)","(20.44,-0.07,0)",,
"(0.0,-0.05,1.0)","(2.06,-0.07,0.99)","(4.12,-0.08,0.95)","(6.18,-0.06,0.89)","(8.24,0.07,0.8)","(10.3,-0.08,0.69)","(12.36,0.09,0.56)","(14.42,-0.05,0.4)","(16.48,0.08,0.22)","(18.53,0.08,0.01)","(20.59,0.08,0)",,,
"(0.0,0.07,1.0)","(1.99,0.03,0.99)","(3.98,0.03,0.95)","(5.98,0.07,0.89)","(7.97,0.05,0.8)","(9.96,-0.02,0.69)","(11.95,0.04,0.56)","(13.95,-0.08,0.4)","(15.94,-0.09,0.22)","(17.93,0.07,0.01)","(19.92,-0.09,0)","(21.92,-0.06,0)",,
"(0.0,-0.0,1.0)","(1.78,0.04,0.99)","(3.55,-0.08,0.95)","(5.33,0.09,0.89)","(7.1,-0.08,0.8)","(8.88,0.02,0.69)","(10.66,0.05,0.56)","(12.43,-0.08,0.4)","(14.21,0.07,0.22)","(15.98,-0.02,0.01)","(17.76,0.07,0)","(19.54,-0.01,0)","(21.31,0.04,0)",
"(0.0,-0.09,1.0)","(1.76,-0.04,0.99)","(3.52,0.01,0.95)","(5.27,0.08,0.89)","(7.03,-0.08,0.8)","(8.79,0.06,0.69)","(10.55,0.08,0.56)","(12.31,-0.03,0.4)","(14.06,-0.0,0.22)","(15.82,0.03,0.01)","(17.58,-0.08,0)","(19.34,-0.08,0)","(21.1,-0.06,0)",
"(0.0,0.1,1.0)","(2.03,-0.09,0.99)","(4.05,0.1,0.95)","(6.08,0.03,0.89)","(8.1,-0.05,0.8)","(10.13,-0.01,0.69)","(12.16,-0.06,0.56)","(14.18,0.04,0.4)","(16.21,0.05,0.22)","(18.23,-0.02,0.01)","(20.26,-0.07,0)",,,
"(0.0,0.04,1.0)","(1.69,-0.1,0.99)","(3.37,0.1,0.95)","(5.06,-0.05,0.89)","(6.75,-0.1,0.8)","(8.43,0.07,0.69)","(10.12,0.07,0.56)","(11.81,0.04,0.4)","(13.5,0.01,0.22)","(15.18,0.01,0.01)","(16.87,-0.09,0)","(18.56,0.01,0)","(20.24,0.09,0)",
"(0.0,0.03,1.0)","(2.02,0.0,0.99)","(4.05,0.0,0.95)","(6.07,0.08,0.89)","(8.09,-0.07,0.8)","(10.11,-0.04,0.69)","(12.14,0.04,0.56)","(14.16,-0.08,0.4)","(16.18,-0.04,0.22)","(18.21,0.02,0.01)","(20.23,0.08,0)",,,
"(0.0,0.03,1.0)","(1.87,-0.04,0.99)","(3.75,0.09,0.95)","(5.62,-0.08,0.89)","(7.5,0.01,0.8)","(9.37,-0.05,0.69)","(11.24,-0.07,0.56)","(13.12,0.08,0.4)","(14.99,-0.02,0.22)","(16.87,-0.0,0.01)","(18.74,0.08,0)","(20.61,-0.04,0)",,
"(0.0,-0.08,1.0)","(2.03,0.09,0.99)","(4.07,-0.01,0.95)","(6.1,-0.1,0.89)","(8.14,0.03,0.8)","(10.17,-0.03,0.69)","(12.21,-0.01,0.56)","(14.24,-0.0,0.4)","(16.28,-0.06,0.22)","(18.31,-0.08,0.01)","(20.35,-0.1,0)",,,
"(0.0,-0.1,1.0)","(1.71,-0.07,0.99)","(3.42,0.01,0.95)","(5.12,-0.08,0.89)","(6.83,-0.07,0.8)","(8.54,0.01,0.69)","(10.25,0.03,0.56)","(11.96,-0.06,0.4)","(13.66,-0.07,0.22)","(15.37,-0.02,0.01)","(17.08,-0.02,0)","(18.79,-0.01,0)","(20.5,0.08,0)",
"(0.0,-0.04,1.0)","(1.67,-0.02,0.99)","(3.34,0.02,0.95)","(5.0,-0.09,0.89)","(6.67,0.05,0.8)","(8.34,0.05,0.69)","(10.01,-0.04,0.56)","(11.67,-0.1,0.4)","(13.34,-0.06,0.22)","(15.01,-0.07,0.01)","(16.68,0.01,0)","(18.34,-0.01,0)","(20.01,0.04,0)","(21.68,0.06,0)"
"(0.0,0.01,1.0)","(1.69,0.06,0.99)","(3.38,-0.07,0.95)","(5.06,0.09,0.89)","(6.75,-0.09,0.8)","(8.44,-0.09,0.69)","(10.13,0.07,0.56)","(11.82,-0.06,0.4)","(13.5,0.09,0.22)","(15.19,0.08,0.01)","(16.88,0.06,0)","(18.57,0.08,0)","(20.26,-0.01,0)",
"(0.0,-0.08,1.0)","(2.05,-0.03,0.99)","(4.1,0.01,0.95)","(6.16,-0.09,0.89)","(8.21,-0.03,0.8)","(10.26,-0.09,0.69)","(12.31,0.07,0.56)","(14.36,-0.08,0.4)","(16.42,-0.08,0.22)","(18.47,-0.0,0.01)","(20.52,-0.04,0)",,,
"(0.0,-0.01,1.0)","(1.76,-0.05,0.99)","(3.52,0.09,0.95)","(5.28,0.1,0.89)","(7.05,-0.04,0.8)","(8.81,0.08,0.69)","(10.57,0.02,0.56)","(12.33,0.08,0.4)","(14.09,-0.07,0.22)","(15.85,-0.07,0.01)","(17.62,0.02,0)","(19.38,-0.0,0)","(21.14,0.06,0)",
"(0.0,-0.02,1.0)","(1.68,-0.06,0.99)","(3.35,0.05,0.95)","(5.03,-0.03,0.89)","(6.7,-0.09,0.8)","(8.38,-0.02,0.69)","(10.06,-0.07,0.56)","(11.73,0.08,0.4)","(13.41,-0.07,0.22)","(15.08,0.04,0.01)","(16.76,-0.04,0)","(18.44,0.07,0)","(20.11,0.01,0)","(21.79,0.08,0)"
"(0.0,0.02,1.0)","(1.68,0.1,0.99)","(3.35,0.06,0.95)","(5.03,0.09,0.89)","(6.71,0.08,0.8)","(8.39,-0.08,0.69)","(10.06,-0.05,0.56)","(11.74,-0.03,0.4)","(13.42,-0.09,0.22)","(15.1,0.01,0.01)","(16.77,-0.02,0)","(18.45,-0.08,0)","(20.13,-0.03,0)",
"(0.0,-0.03,1.0)","(1.73,0.02,0.99)","(3.45,-0.07,0.95)","(5.18,-0.02,0.89)","(6.91,0.09,0.8)","(8.63,-0.07,0.69)","(10.36,-0.01,0.56)","(12.08,-0.01,0.4)","(13.81,0.04,0.22)","(15.54,-0.03,0.01)","(17.26,0.06,0)","(18.99,-0.04,0)","(20.72,0.0,0)",
"(0.0,0.05,1.0)","(1.92,-0.02,0.99)","(3.85,0.02,0.95)","(5.77,-0.05,0.89)","(7.7,0.02,0.8)","(9.62,-0.06,0.69)","(11.55,-0.1,0.56)","(13.47,0.06,0.4)","(15.4,-0.07,0.22)","(17.32,-0.0,0.01)","(19.25,0.0,0)","(21.17,-0.03,0)",,
"(0.0,0.09,1.0)","(2.05,-0.06,0.99)","(4.1,0.07,0.95)","(6.15,0.02,0.89)","(8.2,0.07,0.8)","(10.25,-0.01,0.69)","(12.3,0.07,0.56)","(14.35,0.08,0.4)","(16.4,0.02,0.22)","(18.46,-0.08,0.01)","(20.51,-0.09,0)",,,
"(0.0,0.0,1.0)","(1.74,-0.02,0.99)","(3.48,0.04,0.95)","(5.23,0.01,0.89)","(6.97,0.06,0.8)","(8.71,-0.0,0.69)","(10.45,0.03,0.56)","(12.19,0.05,0.4)","(13.93,0.07,0.22)","(15.68,-0.04,0.01)","(17.42,-0.09,0)","(19.16,-0.03,0)","(20.9,0.1,0)",
"(0.0,0.05,1.0)","(1.7,0.05,0.99)","(3.39,-0.03,0.95)","(5.09,0.02,0.89)","(6.78,0.06,0.8)","(8.48,0.06,0.69)","(10.18,0.01,0.56)","(11.87,0.01,0.4)","(13.57,0.03,0.22)","(15.26,-0.02,0.01)","(16.96,0.07,0)","(18.65,-0.05,0)","(20.35,-0.03,0)",
"(0.0,0.02,1.0)","(1.78,0.03,0.99)","(3.57,-0.04,0.95)","(5.35,-0.03,0.89)","(7.14,-0.05,0.8)","(8.92,0.09,0.69)","(10.71,-0.07,0.56)","(12.49,0.05,0.4)","(14.28,0.01,0.22)","(16.06,-0.05,0.01)","(17.85,0.06,0)","(19.63,-0.0,0)","(21.42,-0.0,0)",
